,Unnamed: 0,SentenceID,ThreadID,Score,AnswerID,Technique,Response.median
0,1,173,49996456,9,answer-51494250,1,3.0
1,2,175,49996456,9,answer-51494250,3,3.0
2,3,177,50227069,1,answer-50227170,4,4.0
3,4,178,50522602,0,answer-50523464,1,4.0
4,5,179,50522602,0,answer-50523464,2,4.0
5,6,180,50522602,0,answer-50523464,3,4.0
6,7,181,51674222,12,answer-51674892,1,3.0
7,8,183,51674222,1,answer-51675877,3,4.0
8,9,184,51674222,1,answer-51675877,2,3.5
9,10,189,50703187,5,answer-50703313,1,4.0
10,11,191,50703187,1,answer-50703427,2,5.0
11,12,192,50014635,0,answer-50014693,2,3.0
12,13,193,50014635,4,answer-50014701,1,4.0
13,14,194,50014635,4,answer-50014701,3,4.0
14,15,195,50957609,0,answer-50957707,2,4.0
15,16,196,50957609,0,answer-50958104,4,4.0
16,17,197,49742914,2,answer-49742993,2,4.0
17,18,198,49742914,2,answer-49743008,1,3.5
18,19,199,49742914,2,answer-49743008,3,3.0
19,20,200,49742914,2,answer-49743033,1,4.0
20,21,201,50088757,4,answer-50088868,3,4.0
21,22,202,50088757,4,answer-50088868,1,4.0
22,23,203,50088757,4,answer-50088868,2,3.0
23,24,204,51580523,1,answer-51580586,1,5.0
24,25,205,51580523,2,answer-51580653,2,4.5
25,26,206,51580523,0,answer-51583718,1,2.5
26,27,207,51580523,0,answer-51583718,3,2.5
27,28,208,51682923,0,answer-51682974,1,2.0
28,29,209,51682923,0,answer-51683218,5,4.5
29,30,210,51682923,0,answer-51683218,1,3.5
30,31,211,50460523,2,answer-50460596,2,4.0
31,32,212,50460523,1,answer-50460873,1,3.0
32,33,213,50460523,1,answer-50460873,3,2.0
33,34,214,50460523,1,answer-50460873,1,2.0
34,35,215,50619917,2,answer-50620118,2,3.0
35,36,217,50605220,0,answer-50605397,1,4.0
36,37,218,50605220,0,answer-50606096,2,3.0
37,38,219,50605220,0,answer-50606096,3,3.0
38,39,220,49638703,1,answer-49666744,2,2.0
39,40,221,49638703,1,answer-49666744,1,3.0
40,41,222,49638703,1,answer-49667023,3,4.0
41,42,223,51628014,0,answer-51628170,1,3.0
42,43,224,51628014,0,answer-51628170,2,2.0
43,44,225,51628014,1,answer-51628324,1,5.0
44,45,227,50254393,1,answer-50261031,1,3.5
45,46,228,50254393,1,answer-50261031,2,1.0
46,47,229,50254393,0,answer-50290238,3,4.0
47,48,230,50254393,0,answer-50290238,3,4.0
48,49,231,49868076,0,answer-49875401,4,4.0
49,50,232,49868076,0,answer-49875401,2,4.0
50,51,233,49868076,0,answer-49904853,1,4.0
51,52,234,50485037,-1,answer-50485134,8,3.5
52,53,235,50485037,0,answer-50485160,1,4.5
53,54,236,50485037,0,answer-50485160,1,4.5
54,55,237,50485037,0,answer-50485160,3,4.0
55,56,238,49638703,1,answer-49667023,6,4.0
56,57,239,49742914,2,answer-49742993,6,4.0
57,58,240,49868076,0,answer-49904853,6,4.0
58,59,241,49996456,9,answer-51494250,8,4.0
59,60,242,50014635,4,answer-50014701,6,3.0
60,61,243,50088757,4,answer-50088868,6,4.0
61,62,245,50227069,1,answer-50227170,8,4.0
62,63,246,50254393,1,answer-50261031,6,3.5
63,64,247,50460523,1,answer-50460873,6,3.0
64,65,249,50522602,0,answer-50523464,6,4.0
65,66,250,50605220,2,answer-50605288,6,4.0
66,67,251,50619917,1,answer-50620194,10,5.0
67,68,252,50703187,5,answer-50703313,9,4.0
68,69,253,50957609,0,answer-50958104,6,4.0
69,70,254,51580523,1,answer-51580716,6,4.0
70,71,255,51628014,1,answer-51628324,9,4.0
71,72,257,51682923,2,answer-51683003,6,4.0
72,73,258,51674222,1,answer-51675877,7,4.5
73,74,262,51783807,2,answer-51784010,4,4.5
74,75,263,51783807,2,answer-51784010,1,4.5
75,76,264,51783807,2,answer-51784010,8,4.5
