ResponseID,User_ID,SentenceID,SentenceText,Response
952,1abff8f3c01fdafd3bcd19f87c394ce4,-3,-1,
1137,e00a907093d3662aa176f39e14952433,-3,-1,"Very interesting hit, thank you for your time."
1196,5857532ecc165a002982034e30107bdf,-3,-1,
1249,d1a66d7119f95c8f2c9361ec9f55a951,-3,-1,Highlights should be applied in small amounts. Maybe one or two per post at most. Too many highlights could cause all highlights to become noise.
1300,e65bb7c765458b48e9ecc690c047e57e,-3,-1,
1503,5ae06be6dd4e8581d5c90c40188c4897,-3,-1,
1761,86a32f171475d4ad42af11c4cbb1eaf1,-3,-1,Too long for $3.
1811,ff6c7319934da003d2cc3cf520715006,-3,-1,I didn't have any problems. 
1861,a3f1676dc2e47d8d53c2a7c129a67b30,-3,-1,Thanks!
1883,008b58b84d46a50e0332032e0d3d9e3a,-3,-1,No
1903,d6cef22e92c1343285684a3e993e6bd3,-3,-1,Interesting project - best of luck!
1913,7f9418fde2cfedcdde148dbdbb94d5fe,-3,-1,none
2340,c0987233440ef3ca8ad15efbe319b9fe,-3,-1,One of my highlights didn't work I had to open inspect element and fix it to trigger the event question box
2485,2a8581d33179ed475cf9cfcada387e57,-3,-1,Not really
2657,1bd1c455f2839dc7cbc6251537f3da8c,-3,-1,All is ok . I really like this study
2755,b5c68f66246b451c0f65518977e7a241,-3,-1,No
2838,3e51e4b28d98fafdb6af2a476e01ca7a,-3,-1,no
2981,5c1e42105e8b0f72d95a7580f24fb393,-3,-1,
3193,1e291d9f8c99470ffa480486a34873f5,-3,-1,"Was an interesting HIT, I did one yesterday but it stalled out on me, so glad I was able to grab and do this one."
3295,46a48d98a47aeb653879015c3361fa64,-3,-1,no
3903,190b2cf87a5569b0aa93aacda8da876a,-3,-1,I would avoid highlighting answers where the user doesn't seem to have understood the question or misinterpreted it in some way.
4334,c53ab511afc9daa4c139b32cfb3911df,-3,-1,
4553,6ec5e178e529f6b2f418bf478f2ce59c,-3,-1,This was a fun task.
4764,567145b16da60b17212073e933b46886,-3,-1,This is a good HIT.
5005,b0b07d3a799b71ba702f4c5da29f27b9,-3,-1,
5148,dc6630e697579eeb3bb390355349868b,-3,-1,Better to give one proper example before the actual task for better understanding of the tasks
5497,11e321cebd307d56075b6bf9ca4248c7,-3,-1,No
5503,5e1008f67932df8c7b022882d312205d,-3,-1,Interesting task.
5744,57dd37df7c9b09ff65cdf930d2a600ed,-3,-1,No.
5889,340e8782e70cce8dbf3be406e1ef505e,-3,-1,This is very good. Are you looking into giving an structure to Stack Overflow?
5953,4147da6320a499a7706a4cb34679ceae,-3,-1,
6033,9e474d6b2dda6f02fe5a5381b2ae7dd1,-3,-1,no
6554,7a950c0d4743490af403d1b63f6735d6,-3,-1,
6692,40911285d6743fcd280b5badd29bd31c,-3,-1,
6914,36d239cfa27dd388296579a4d24afb15,-3,-1,I liked the idea of highlighting information in Stack Overflow threads.
7058,0f6f9cc0bcb338401e6e9ad2aac3aa7f,-3,-1,N/A
7161,a95f5fba5e1b799bd7aa667fb1c5cd08,-3,-1,"nothing else to add, thanks."
7226,94269079ab46deae14277decb3e44399,-3,-1,
7532,2ebf68fd3883774de5aeeaafdefae460,-3,-1,
7596,e0189a864102ab9974837b37cb0f2c9d,-3,-1,
7810,437132e2719f79b06bcc330b5c8d827b,-3,-1,The 'Justify your answers' question is very broad. It could be worth including a few examples for future survey-goers here. The questions also seemed very similar to each other. 
7883,aed31d20356f4f21667630fbaf6d6f11,-3,-1,
8047,eb47749ec4c3a53610bd5bc502cc6672,-3,-1,
